Z,Symbol,Name,Lambda1_nm,I1,Lambda2_nm,I2,Lambda3_nm,I3
1,H,Hydrogen,656.28518,180,656.2711,90,486.13615,60
2,He,Helium,587.56148,500,388.86489,300,587.56404,250
3,Li,Lithium,670.7926,1000,548.45,500,670.7775,500
4,Be,Beryllium,467.3423,200,467.3329,140,436.0988,100
5,B,Boron,412.1933,300,419.4792,110,447.2101,110
6,C,Carbon,426.7258,500,723.642,500,392.0693,400
7,N,Nitrogen,744.229,200,746.831,200,575.25,150
8,O,Oxygen,391.1957,400,397.32562,400,407.5862,400
9,F,Fluorine,685.603,500,703.7469,500,712.789,300
10,Ne,Neon,692.94673,1000,703.24131,800,717.39381,800
11,Na,Sodium,588.995,1000,439.281,600,445.523,500
12,Mg,Magnesium,383.8292,80,518.3604,70,383.23,50
13,Al,Aluminum,396.152,1000,466.3056,1000,466.68,600
14,Si,Silicon,390.5523,200,504.1026,130,505.5981,130
15,P,Phosphorus,460.208,130,645.999,130,650.346,130
16,S,Sulfur,545.3828,400,416.2665,250,543.2815,250
17,Cl,Chlorine,479.455,600,542.323,600,489.677,400
18,Ar,Argon,696.5431,300,706.7218,300,738.398,300
19,K,Potassium,691.108,800,693.877,800,404.414,700
20,Ca,Calcium,393.36614,1000,396.84673,1000,422.6727,1000
21,Sc,Scandium,391.1812,1000,390.7484,900,402.0387,900
22,Ti,Titanium,430.5907,800,453.3239,800,395.8201,700
23,V,Vanadium,437.923,1000,411.178,700,438.471,600
24,Cr,Chromium,425.4331,1000,427.4806,800,520.8415,600
25,Mn,Manganese,403.0755,1000,403.3068,700,403.4485,400
26,Fe,Iron,382.04253,500,385.99114,500,388.62822,300
27,Co,Cobalt,389.4078,400,384.5469,300,387.3114,250
28,Ni,Nickel,385.8297,150,380.7144,90,499.2024,80
29,Cu,Copper,490.9734,700,627.3349,700,740.4354,700
30,Zn,Zinc,481.05321,400,472.21569,250,492.40132,120
31,Ga,Gallium,417.2042,1000,633.405,1000,641.923,900
32,Ge,Germanium,474.1806,1000,481.4608,1000,589.3389,1000
33,As,Arsenic,449.423,800,450.7659,800,419.0082,700
34,Se,Selenium,418.09,1000,522.7533,1000,605.584,1000
35,Br,Bromine,422.389,1000,436.563,1000,635.073,800
36,Kr,Krypton,435.5477,1000,473.9002,1000,465.8876,700
37,Rb,Rubidium,424.44,1000,394.051,300,477.595,300
